titulacion_id,cod_titulacion,des_titulacion,cod_tipo_estudio,des_tipo_estudio
1,7700001,Grado Abierto UC3M en Ciencias Sociales y Humanidades,G,GRADO
2,7700002,Grado Abierto UC3M en Ingeniería,G,GRADO
3,2500030,Grado en Administración de Empresas,G,GRADO
4,2503783,Grado en Ciencia e Ingeniería de Datos,G,GRADO
5,2504235,"Grado en Ciencia, Tecnología y Humanidades",G,GRADO
6,2504022,Grado en Ciencias,G,GRADO
7,2500024,Grado en Ciencias Políticas,G,GRADO
8,2500025,Grado en Comunicación Audiovisual,G,GRADO
9,2500026,Grado en Derecho,G,GRADO
10,2500119,Grado en Economía,G,GRADO
11,2503790,Grado en Empresa y Tecnología,G,GRADO
12,2500027,Grado en Estadística y Empresa,G,GRADO
13,2503917,Grado en Estudios Culturales,G,GRADO
14,2502997,Grado en Estudios Internacionales,G,GRADO
15,2503809,"Grado en Filosofía, Política y Economía",G,GRADO
16,2502922,"Grado en Filosofía, Política y Economía",G,GRADO
17,2500155,Grado en Finanzas y Contabilidad,G,GRADO
18,2503593,Grado en Gestión de la Información y Contenidos Digitales,G,GRADO
19,2503333,Grado en Gestión de Seguridad Pública,G,GRADO
20,2503797,Grado en Historia y Política,G,GRADO
21,2500120,Grado en Humanidades,G,GRADO
22,2500131,Grado en Información y Documentación (Semipresencial),G,GRADO
23,2501584,Grado en Ingeniería Aeroespacial,G,GRADO
24,2501585,Grado en Ingeniería Biomédica,G,GRADO
25,2500045,Grado en Ingeniería de Comunicaciones Móviles y Espaciales,G,GRADO
26,2502850,Grado en Ingeniería de la Energía,G,GRADO
27,2502665,Grado en Ingeniería de la Seguridad,G,GRADO
28,2500184,Grado en Ingeniería de Sonido e Imagen,G,GRADO
29,2500188,Grado en Ingeniería Eléctrica,G,GRADO
30,2500196,Grado en Ingeniería Electrónica Industrial y Automática,G,GRADO
31,2501586,Grado en Ingeniería en Tecnologías de Telecomunicación,G,GRADO
32,2502457,Grado en Ingeniería en Tecnologías Industriales,G,GRADO
33,2503905,Grado en Ingeniería Física,G,GRADO
34,2500046,Grado en Ingeniería Informática,G,GRADO
35,2500048,Grado en Ingeniería Mecánica,G,GRADO
36,2504462,Grado en Ingeniería Robótica,G,GRADO
37,2500159,Grado en Ingeniería Telemática,G,GRADO
38,2503904,Grado en Matemática Aplicada y Computación,G,GRADO
39,2500028,Grado en Periodismo,G,GRADO
40,2500118,Grado en Relaciones Laborales y Empleo,G,GRADO
41,2500187,Grado en Sociología,G,GRADO
42,2500029,Grado en Turismo,G,GRADO
43,7000000,Doble Grado en Derecho y Administración de Empresas,G,GRADO
44,7000001,Doble Grado en Derecho y Ciencias Políticas,G,GRADO
45,7000002,Doble Grado en Derecho y Economía,G,GRADO
46,7000003,Doble Grado en Ingeniería Informática y Administración de Empresas,G,GRADO
47,7000004,Doble Grado en Periodismo y Comunicación Audiovisual,G,GRADO
48,7000105,Doble Grado en Ciencias Políticas y Sociología,G,GRADO
49,7000435,Doble Grado en Periodismo y Humanidades,G,GRADO
50,7000616,Doble Grado en Estudios Internacionales y Administración de Empresas,G,GRADO
51,7000617,Doble Grado en Estudios Internacionales y Ciencias Políticas,G,GRADO
52,7000618,Doble Grado en Estudios Internacionales y Derecho,G,GRADO
53,7000679,Doble Grado en Estudios Internacionales y Economía,G,GRADO
54,7001063,Doble Grado Ciencia e Ingeniería de Datos - Ingeniería en Tecnologías de Telecomunicación,G,GRADO
55,7001064,Doble Grado en Ingeniería Física e Ingeniería en Tecnologías Industriales,G,GRADO
56,3000543,Máster Interuniversitario en Multimedia y Comunicaciones,M,MÁSTER
57,4313506,Máster Universitario en Acceso al Ejercicio de la Abogacía por la Universidad Carlos III de Madrid,M,MÁSTER
58,4317023,Máster Universitario en Alta Dirección en Seguridad Internacional por la Universidad Carlos III de Madrid,M,MÁSTER
59,4316666,Máster Universitario en Análisis Político y Electoral por la Universidad Carlos III de Madrid,M,MÁSTER
60,4314666,"Máster Universitario en Archivos, Gestión de Documentos y Continuidad Digital por la Universidad Carlos III de Madrid",M,MÁSTER
61,4314823,Máster Universitario en Asesoramiento y Consultoría Jurídico-Laboral por la Universidad Carlos III de Madrid,M,MÁSTER
62,4315248,Máster Universitario en Asesoría Jurídica de Empresas por la Universidad Carlos III de Madrid,M,MÁSTER
63,4310430,Máster Universitario en Bibliotecas y Servicios de Información Digital por la Universidad Carlos III de Madrid,M,MÁSTER
64,4316268,"Máster Universitario en Bibliotecas, Archivos y Continuidad Digital por la Universidad Carlos III de Madrid",M,MÁSTER
65,4315809,Máster Universitario en Ciencia e Ingeniería de Materiales por la Universidad Carlos III de Madrid,M,MÁSTER
66,4311470,Máster Universitario en Ciencia y Tecnología Informática,M,MÁSTER
67,4313914,Máster Universitario en Ciencia y Tecnología Informática por la Universidad Carlos III de Madrid,M,MÁSTER
68,4310065,Máster Universitario en Ciencias Actuariales y Financieras por la Universidad Carlos III de Madrid,M,MÁSTER
69,4316234,Máster Universitario en Ciencias de las Religiones: Historia y Sociedad por la Universidad Carlos III de Madrid; la Universidad de La Laguna y la Univ,M,MÁSTER
70,4314794,Máster Universitario en Cine y Televisión por la Universidad Carlos III de Madrid,M,MÁSTER
71,4315832,Máster Universitario en Comunicación Publicitaria por la Universidad Carlos III de Madrid,M,MÁSTER
72,4314834,"Máster Universitario en Derecho de las Telecomunicaciones, Protección de Datos, Audiovisual y Sociedad de la Información por la Universidad Carlos III",M,MÁSTER
73,4313918,Máster Universitario en Derecho Penal y Procesal Penal por la Universidad Carlos III de Madrid,M,MÁSTER
74,4310066,Máster Universitario en Derecho Privado,M,MÁSTER
75,4314096,Máster Universitario en Derecho Privado por la Universidad Carlos III de Madrid,M,MÁSTER
76,4310067,Máster Universitario en Derecho Público,M,MÁSTER
77,4314095,Máster Universitario en Derecho Público por la Universidad Carlos III de Madrid,M,MÁSTER
78,4314793,Máster Universitario en Derechos de los Sectores Regulados,M,MÁSTER
79,4318036,Máster Universitario en Dirección de Personas y Gestión del Talento de la Seguridad por la Universidad Carlos III de Madrid,M,MÁSTER
80,4314692,Máster Universitario en Dirección Operativa de la Seguridad por la Universidad Carlos III de Madrid,M,MÁSTER
81,4314702,Máster Universitario en Documental y Reportaje Periodístico Transmedia por la Universidad Carlos III de Madrid,M,MÁSTER
82,4312479,Máster Universitario en Energías Renovables en Sistemas Eléctricos por la Universidad Carlos III de Madrid,M,MÁSTER
83,4316978,Máster Universitario en Estudios Avanzados de Derecho Público por la Universidad Carlos III de Madrid,M,MÁSTER
84,4313915,Máster Universitario en Estudios Avanzados en Derechos Humanos por la Universidad Carlos III de Madrid,M,MÁSTER
85,4310069,Máster Universitario en Estudios Avanzados en Derechos Humanos por la Universidad Carlos III de Madrid,M,MÁSTER
86,4314760,Máster Universitario en Gestión Turística de Recursos Culturales y Naturales por la Universidad Carlos III de Madrid,M,MÁSTER
87,4314822,Máster Universitario en Gestión y Desarrollo de Tecnologías Biomédicas por la Universidad Carlos III de Madrid,M,MÁSTER
88,4311970,Máster Universitario en Herencia Cultural Hispánica por la Universidad Carlos III de Madrid,M,MÁSTER
89,4316676,Máster Universitario en Ingeniería Clínica por la Universidad Carlos III de Madrid,M,MÁSTER
90,4313512,Máster Universitario en Ingeniería de Máquinas y Transportes por la Universidad Carlos III de Madrid,M,MÁSTER
91,4314701,Máster Universitario en Ingeniería de Sistemas Electrónicos y Aplicaciones por la Universidad Carlos III de Madrid,M,MÁSTER
92,4317624,Máster Universitario en Ingeniería Estructural de Construcciones Industriales por la Universidad Carlos III de Madrid,M,MÁSTER
93,4312226,Máster Universitario en Ingeniería Industrial por la Universidad Carlos III de Madrid,M,MÁSTER
94,4310070,Máster Universitario en Ingeniería Informática por la Universidad Carlos III de Madrid,M,MÁSTER
95,4313166,Máster Universitario en Iniciativa Emprendedora y Creación de Empresas por la Universidad Carlos III de Madrid,M,MÁSTER
96,4318051,Máster Universitario en Inteligencia Artificial Aplicada por la Universidad Carlos III de Madrid,M,MÁSTER
97,4316959,Máster Universitario en Internet de las Cosas: Tecnologías Aplicadas por la Universidad Carlos III de Madrid,M,MÁSTER
98,4310431,Máster Universitario en Investigación Aplicada a Medios de Comunicación por la Universidad Carlos III de Madrid,M,MÁSTER
99,4314461,Máster Universitario en Investigación en Derecho de la Cultura por la Universidad Carlos III de Madrid y la Universidad Nacional de Educación a Distan,M,MÁSTER
100,4314721,Máster Universitario en Lengua y Literatura Españolas Actuales por la Universidad Carlos III de Madrid,M,MÁSTER
101,4314280,Máster Universitario en Liderazgo Político y Social por la Universidad Carlos III de Madrid,M,MÁSTER
102,4314422,"Máster Universitario en Matemática Industrial por la Universidad Carlos III de Madrid, la Universidad de A Coruña, la Universidad de Santiago de Compo",M,MÁSTER
103,4313553,Máster Universitario en Mecánica Industrial por la Universidad Carlos III de Madrid,M,MÁSTER
104,4315334,"Máster Universitario en Mediación, Negociación y Resolución de Conflictos por la Universidad Carlos III de Madrid",M,MÁSTER
105,4312478,Máster Universitario en Prevención de Riesgos Laborales por la Universidad Carlos III de Madrid,M,MÁSTER
106,4314772,Máster Universitario en Propiedad Intelectual,M,MÁSTER
107,4316288,Máster Universitario en Responsabilidad Civil por la Universidad Carlos III de Madrid,M,MÁSTER
108,4310075,Máster Universitario en Robótica y Automatización,M,MÁSTER
109,4313916,Máster Universitario en Robótica y Automatización por la Universidad Carlos III de Madrid,M,MÁSTER
110,4316251,Máster Universitario en Seguridad Vial y Tráfico por la Universidad Carlos III de Madrid,M,MÁSTER
111,4315295,Máster Universitario en Tecnologías de la Computación Aplicadas al Sector Financiero por la Universidad Carlos III de Madrid,M,MÁSTER
112,4311969,Máster Universitario en Teoría y Critica de la Cultura por la Universidad Carlos III de Madrid,M,MÁSTER
113,4316681,Máster Universitario en Tributación por la Universidad Carlos III de Madrid,M,MÁSTER
114,4316264,Máster Universitario en Abogacía Internacional / Master in International Advocacy por la Universidad Carlos III de Madrid,M,MÁSTER
115,4314769,Máster Universitario en Administración de Empresas / Master in Business Administration-MBA por la Universidad Carlos III de Madrid,M,MÁSTER
116,4313919,Máster Universitario en Análisis Económico / Master in Economics Analysis por la Universidad Carlos III de Madrid,M,MÁSTER
117,4314804,Máster Universitario en Ciberseguridad por la Universidad Carlos III de Madrid,M,MÁSTER
118,4315827,Máster Universitario en Ciencias Sociales / Master in Social Sciences por la Universidad Carlos III de Madrid,M,MÁSTER
119,4318007,Máster Universitario en Ciencias Sociales Computacionales/ Computational Social Science por la Universidad Carlos III de Madrid,M,MÁSTER
120,4314801,Máster Universitario en Derecho de la Unión Europea por la Universidad Carlos III de Madrid,M,MÁSTER
121,4318067,Máster Universitario en Desarrollo Sostenible y Gobernanza Global/ Global Sustainable Development and Global Governance por la Universidad Carlos III,M,MÁSTER
122,4312222,Máster Universitario en Desarrollo y Crecimiento Económico / Economic Development and Growth por la Universidad Carlos III de Madrid,M,MÁSTER
123,4312352,Máster Universitario en Dirección de Empresas / Master in Management por la Universidad Carlos III de Madrid,M,MÁSTER
124,4314097,Máster Universitario en Dirección de Recursos Humanos / Master in Human Resources Management por la Universidad Carlos III de Madrid,M,MÁSTER
125,4314722,Máster Universitario en Economía / Master in Economics por la Universidad Carlos III de Madrid,M,MÁSTER
126,4313969,Máster Universitario en Economía de la Empresa y Finanzas/ Master in Business and Finance por la Universidad Carlos III de Madrid,M,MÁSTER
127,4313547,Máster Universitario en Economía Industrial y Mercados / Master in Industrial Economics and Markets por la Universidad Carlos III de Madrid,M,MÁSTER
128,4317771,Máster Universitario en Erasmus Mundus en Física de Plasmas y Fusión Nuclear / European Master of Science in Nuclear Fusion and Engineering Physics po,M,MÁSTER
129,4316664,Máster Universitario en Estadística para la Ciencia de Datos por la Universidad Carlos III de Madrid,M,MÁSTER
130,4312353,Máster Universitario en Finanzas / Master in Finance por la Universidad Carlos III de Madrid,M,MÁSTER
131,4316680,Máster Universitario en Geopolítica y Estudios Estratégicos / Geopolitics and Strategic Studies por la Universidad Carlos III de Madrid,M,MÁSTER
132,4318065,"Máster Universitario en Gobernanza Económica Europea: Derecho, Política y Economía/ European Economic Governance por la Universidad Carlos III de Madr",M,MÁSTER
133,4316927,Máster Universitario en Industria Conectada 4.0 / Connected Industry 4.0 por la Universidad Carlos III de Madrid,M,MÁSTER
134,4314463,Máster Universitario en Ingeniería Aeronáutica / Master in Aeronautical Engineering por la Universidad Carlos III de Madrid,M,MÁSTER
135,4316958,Máster Universitario en Ingeniería de la Información para la Salud / Information Health Engineering por la Universidad Carlos III de Madrid,M,MÁSTER
136,4316974,Máster Universitario en Ingeniería Espacial / Master in Space Engineering por la Universidad Carlos III de Madrid,M,MÁSTER
137,4316259,Máster Universitario en Ingeniería Fotónica / Master in Photonics Engineering por la Universidad Carlos III de Madrid; la Universidad de Alcalá y la U,M,MÁSTER
138,4313164,Máster Universitario en Ingeniería Matemática / Mathematical Engineering por la Universidad Carlos III de Madrid,M,MÁSTER
139,4313552,Máster Universitario en Ingeniería Telemática / Master in Telematics Engineering por la Universidad Carlos III de Madrid,M,MÁSTER
140,4313138,Máster Universitario en Marketing por la Universidad Carlos III de Madrid,M,MÁSTER
141,4317630,Máster Universitario en Matemática Aplicada y Computacional por la Universidad Carlos III de Madrid,M,MÁSTER
142,4315583,Máster Universitario en Métodos Analíticos para Datos Masivos: Big Data / Master in Big Data Analytics por la Universidad Carlos III de Madrid,M,MÁSTER
143,4313949,Máster Universitario en Tecnologías Avanzadas en Comunicaciones/ Master in Advanced Communications Technologies por la Universidad Carlos III de Madrid,M,MÁSTER
144,4313191,Máster Universitario Erasmus Mundus en Física de Plasmas y Fusión Nuclear / European Master of Science in Nuclear Fusion and Engineering Physics (Fusi,M,MÁSTER
145,4312225,Máster Universitario en Ingeniería de Telecomunicación por la Universidad Carlos III de Madrid,M,MÁSTER
146,4318060,Máster Universitario en Tecnologías e Ingeniería Cuánticas por la Universidad Carlos III de Madrid,M,MÁSTER
147,4318392,Máster Universitario en Ingeniería del Diseño Industrial por la Universidad Carlos III de Madrid,M,MÁSTER
148,4318393,Máster Universitario en Ingeniería Circular por la Universidad Carlos III de Madrid,M,MÁSTER
149,5600030,Doctorado en Ciencia e Ingeniería de Materiales (RD 99/2011),D,DOCTORADO
150,5601375,Doctorado en Ciencia y Tecnología Biomédica,D,DOCTORADO
151,5600609,Doctorado en Ciencia y Tecnología Informática (RD 99/2011),D,DOCTORADO
152,5600021,Doctorado en Derecho (RD 99/2011),D,DOCTORADO
153,5600621,Doctorado en Documentación: Archivos y Bibliotecas en el Entorno Digital (RD 99/2011),D,DOCTORADO
154,5600022,Doctorado en Economía (RD 99/2011),D,DOCTORADO
155,5600019,Doctorado en Economía de la Empresa y Métodos Cuantitatívos (RD 99/2011),D,DOCTORADO
156,5601282,Doctorado en Empresa y Finanzas RD 99/2011),D,DOCTORADO
157,5601333,Doctorado en en Ciencias Sociales/ Social Sciences (RD 99/2011),D,DOCTORADO
158,5600024,Doctorado en Estudios Avanzados en Derechos Humanos (RD 99/2011),D,DOCTORADO
159,5600620,Doctorado en Humanidades (RD 99/2011),D,DOCTORADO
160,5601449,Doctorado en Ingeniería Aeroespacial,D,DOCTORADO
161,5600023,"Doctorado en Ingeniería Eléctrica, Electrónica y Automática (RD 99/2011)",D,DOCTORADO
162,5600025,Doctorado en Ingeniería Matemática (RD 99/2011),D,DOCTORADO
163,5600028,Doctorado en Ingeniería Mecánica y de Organización Industrial (RD 99/2011),D,DOCTORADO
164,5600029,Doctorado en Ingeniería Telemática (RD 99/2011),D,DOCTORADO
165,5600613,Doctorado en Investigación en Medios de Comunicación (RD 99/2011),D,DOCTORADO
166,5600420,Doctorado en Mecánica de Fluidos (RD 99/2011),D,DOCTORADO
167,5600026,Doctorado en Plasmas y Fusión Nuclear (RD 99/2011),D,DOCTORADO
168,5601487,Doctorado en Tratamiento de Señales e Ingeniería de las Comunicaciones (RD 99/2011),D,DOCTORADO
169,5601103,"Doctorado Interuniversitario en Filosofía, Ciencia y Valores (RD 99/2011)",D,DOCTORADO
170,5601160,Doctorado Interuniversitario en Historia Económica (RD 99/2011),D,DOCTORADO
171,5601301,Doctorado Interuniversitario en Historia Económica (UB/UV/UC3M),D,DOCTORADO
172,5600031,Doctorado Interuniversitario en Multimedia y Comunicaciones (RD 99/2011),D,DOCTORADO
173,5601037,Programa de Doctorado Erasmus Mundus en Ciencia e Ingeniería de la Fusión (RD 99/2011),D,DOCTORADO
174,5601532,Doctorado en Estadística para la Ciencia de Datos (RD 99/2011),D,DOCTORADO
